date,venueType,venueName,city,state,peopleKilled,peopleInjured,pistol,rifle,shotgun,unknownGun,explosive,knife,nonMetallicObject,googleMapsUrl
4/6/2014,1,Plummer Elementary School,Washington,DC,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Plummer+Elementary+School/@38.887119,-76.940074,17z/data=!3m1!4b1!4m2!3m1!1s0x89b7b8c2f2791981:0x52db0acac06af20f"
4/7/2014,12,Marine Corps Base Camp Lejeune,Camp Lejeune,NC,1,1,0,1,0,0,0,0,0,"https://www.google.com/maps/place/Marine+Corps+Base+Camp+Lejeune/@34.636598,-77.301178,17z/data=!3m1!4b1!4m2!3m1!1s0x89a9042a99339c19:0x36a8b9fd41956839"
4/7/2014,1,Eastern New Mexico University,Roswell,NM,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Eastern+New+Mexico+University+-+Roswell/@33.311982,-104.525249,17z/data=!3m1!4b1!4m2!3m1!1s0x86e269ca2454a9e9:0xef2ca9a3c23c02b6"
4/12/2014,10,Walmart Supercenter,Belmont,NC,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Walmart+Supercenter/@35.2340605,-81.0373656,12z/data=!4m5!1m2!2m1!1sWalmart+in+Belmont,+NC!3m1!1s0x8856bd9f619ac5ad:0xfb624279ceea369d"
4/13/2014,10,Jewish Community Center,Overland,KS,3,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Jewish+Community+Center+of+Greater+Kansas+City/@38.9184,-94.653,17z/data=!3m1!4b1!4m2!3m1!1s0x87c0ea225796a7b5:0x6669d18df8d834b4"
4/15/2014,10,Walmart,Huntsville,AL,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Walmart/@34.706328,-86.59039,17z/data=!3m1!4b1!4m2!3m1!1s0x88626cb66ea47319:0x2962aefc65003be2"
4/15/2014,1,Stillman College,Tuscaloosa,AL,0,1,1,0,0,0,0,0,0,"https://www.google.com/maps/place/Stillman+College/@33.1973117,-87.5857854,16z/data=!3m1!4b1!4m2!3m1!1s0x8886030439a1640f:0xcc438ccf73fc02ba"
4/16/2014,10,Columbia Park,Peoria,IL,0,1,0,0,0,1,0,0,0,https://www.google.com.ph/webhp?sourceid=chrome-instant&rlz=1C1CHMO_enPH585PH585&ion=1&espv=2&es_th=1&ie=UTF-8#newwindow=1&q=Columbia%20Park%2C%20Peoria%2C%20Illinois
4/17/2014,2,BNSF Railway (AMTRAK),Klamath,OR,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Klamath+Falls+Amtrak/@42.2202881,-121.7822667,14z/data=!4m5!1m2!2m1!1sBNSF+Railway,+Klamath+Falls,+OR+!3m1!1s0x54c8d4fba65be07d:0x4d3908378ab8dd62"
4/20/2014,10,Kato Entertainment Center,Mankato,MN,1,3,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Kato+Entertainment+Center+Inc/@44.181958,-93.993329,17z/data=!3m1!4b1!4m2!3m1!1s0x87f43756a237429f:0x650244c2d8ccd84d"
